,GSM2054036,GSM2054037,GSM2054038,GSM2054039,GSM2054040,GSM2054041,GSM2054042,GSM2054043
NAPSA,8,43,14,7,42,79,18,59
NARF,339,1156,263,117,462,668,200,652
NARFL,476,1890,389,179,661,826,342,779
NARS,1145,4484,742,364,1306,1710,649,1726
NARS2,189,661,143,67,296,382,157,392
NASP,96,389,82,36,351,432,200,507
NAT1,9,41,15,4,29,45,22,37
NAT10,213,760,167,90,542,694,305,732
NAT14,8,31,10,0,31,41,23,44
NAT2,16,65,16,10,56,94,26,83
NAT6,190,539,133,48,387,575,232,538
NAT8,0,3,0,0,0,0,0,0
NAT8L,1724,5740,1252,428,3236,3830,1424,4149
NAT9,141,556,119,54,322,441,210,467
NATD1,150,719,129,58,531,787,238,753
NAV1,435,1270,388,155,1184,1495,533,1362
NAV2,210,452,141,59,654,686,212,791
NAV3,108,268,85,15,101,143,43,118
NBAS,317,1016,238,103,861,1269,434,1129
NBEA,155,428,121,46,273,328,123,370
NBEAL1,965,2682,721,311,2455,3318,1152,3322
NBEAL2,213,680,209,60,599,699,287,729
NBL1,52,166,39,23,142,121,65,112
NBN,375,1325,263,121,575,796,295,771
NBR1,1885,5574,1359,549,2579,3108,1323,3292
NCALD,22,68,22,7,71,110,37,79
NCAM1,38,64,15,9,38,57,32,74
NCAM2,14,26,5,1,3,11,4,15
NCAN,17,24,7,4,9,11,1,7
NCAPD2,155,633,133,62,422,585,191,482
NCAPD3,197,571,123,61,734,1071,423,982
NCAPG,5,16,4,0,17,44,10,12
NCAPG2,105,374,80,47,109,242,70,180
NCAPH,20,48,16,3,32,63,23,48
NCAPH2,562,2296,478,203,1463,1876,772,1949
NCBP1,907,3406,684,324,1007,1033,480,1307
NCBP2,313,1080,260,115,810,960,383,1101
NCBP3,209,734,165,78,552,799,305,718
NCCRP1,0,0,0,0,1,2,0,1
NCDN,162,626,151,65,267,294,113,317
NCEH1,413,1549,309,109,139,255,71,171
NCF1,23,59,21,5,54,147,28,64
NCF2,31,92,15,8,119,198,35,105
NCF4,3,16,6,0,31,61,11,29
NCK1,343,1159,272,136,541,701,307,794
NCK2,70,238,51,21,269,357,150,317
NCKAP1,2471,7343,1755,759,3531,5036,1830,4599
NCKAP1L,64,141,43,10,209,499,75,222
NCKAP5,13,36,14,5,47,53,20,62
NCKAP5L,35,134,39,13,95,112,44,123
NCKIPSD,74,255,62,17,204,316,108,275
NCL,1632,6339,1009,559,3295,4710,1733,4623
NCLN,548,2204,462,212,831,1017,349,1110
NCMAP,3,2,6,2,7,7,11,11
NCOA1,1229,3723,1019,482,1092,1744,650,1407
NCOA2,505,1444,381,180,1114,1557,571,1461
NCOA3,306,933,272,100,985,1412,491,1325
NCOA4,2824,8978,2231,930,3009,3861,1539,4134
NCOA5,172,599,126,61,332,416,194,413
NCOA6,452,1419,363,144,921,1394,534,1165
NCOA7,228,704,196,91,963,1701,592,1357
NCOR1,1546,4375,1167,477,4339,6111,2439,5424
NCOR2,810,2194,645,272,1349,1633,645,1784
NCR1,2,6,3,0,19,47,16,12
NCS1,9,19,7,5,16,36,9,32
NCSTN,507,1888,453,196,1147,1415,563,1502
NDC1,194,688,176,55,609,866,320,825
NDC80,3,3,2,0,9,35,12,15
NDE1,327,1122,225,114,450,620,213,612
NDEL1,571,1894,438,210,1335,1538,733,1743
NDFIP1,510,2007,423,161,1126,1536,564,1496
NDFIP2,522,1666,401,167,561,777,314,737
NDN,193,673,195,80,783,1101,332,964
NDNF,4,16,2,3,34,31,18,28
NDOR1,167,534,122,47,486,509,184,588
NDP,1,0,0,0,1,1,2,0
NDRG1,277,841,202,97,930,1136,443,1263
NDRG2,5024,15914,3478,1627,6559,8187,3662,9467
NDRG3,2710,9434,2263,940,3156,5041,1579,4134
NDRG4,8,17,4,3,17,37,8,19
NDST1,1069,3291,738,344,1348,1603,622,1648
NDST2,135,454,103,41,317,435,170,418
NDST3,0,2,0,0,12,14,3,10
NDST4,4,13,4,2,16,16,9,12
NDUFA1,1177,4393,1047,470,3014,4102,1708,3791
NDUFA10,4660,14863,3055,1271,9675,13739,5051,13462
NDUFA11,1130,3983,916,400,1038,1345,549,1428
NDUFA12,1582,5288,1201,536,2161,2830,1214,2852
NDUFA13,1113,3925,879,425,2956,3705,1594,4080
NDUFA2,952,3754,812,348,2374,2725,1092,2925
NDUFA3,1139,3815,923,379,2138,2590,1093,2675
NDUFA4,4978,17829,3914,1685,11127,14960,5864,14649
NDUFA4L2,61,198,45,16,147,195,66,205
NDUFA5,1264,4665,943,465,1995,2562,1190,2675
NDUFA6,1927,6738,1492,630,3659,4801,2075,5237
NDUFA7,637,2052,441,202,2247,2752,1056,2830
NDUFA8,1956,7015,1459,647,2601,3577,1424,3507
NDUFA9,3338,10677,2306,995,5841,7962,3121,7999
NDUFAB1,4213,14546,3145,1376,5480,6940,2853,7391
NDUFAF1,455,1572,308,144,549,612,274,660
NDUFAF2,136,525,103,38,202,297,96,300
NDUFAF3,199,649,125,60,443,516,209,557
NDUFAF4,1319,4747,948,441,786,1008,388,1030
NDUFAF5,193,859,172,70,449,658,247,630
NDUFAF6,126,433,67,27,199,266,112,284
NDUFAF7,315,1096,216,86,522,691,239,652
NDUFB10,2420,8665,1886,776,4496,5523,2398,5782
NDUFB11,2050,7254,1508,696,4640,5847,2365,5776
NDUFB2,1089,4102,802,381,1349,1661,700,1618
NDUFB3,1271,4374,933,431,2847,3661,1519,3722
NDUFB4,444,1458,303,141,858,981,419,947
NDUFB5,3076,11185,2382,1024,4915,6023,2547,6718
NDUFB6,2584,9073,2054,916,2980,3606,1568,3551
